epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1809.47,1.26533,3.93976,0.93558,0.9857,0.82778,0.95926,0.57195,1.38032,2.52357,0.91487,0.000660767,0.000660767,0.000660767
2,3218.16,1.06191,1.8054,0.87001,0.96403,0.92324,0.97853,0.61382,1.20963,1.42746,0.89456,0.00119602,0.00119602,0.00119602
3,4636.88,0.9664,1.04829,0.84968,0.93559,0.95224,0.98481,0.62893,1.16302,0.95769,0.89075,0.00159927,0.00159927,0.00159927
4,6019,0.92458,0.74413,0.83818,0.95876,0.94222,0.98681,0.61832,1.22645,0.75916,0.90942,0.001406,0.001406,0.001406
5,7494.73,0.83394,0.6187,0.83339,0.96809,0.94388,0.98787,0.66934,1.1234,0.68215,0.88974,0.001208,0.001208,0.001208
6,8828.8,0.74044,0.52879,0.81846,0.96048,0.93222,0.98642,0.70287,1.07787,0.65161,0.87478,0.00101,0.00101,0.00101
7,10184.2,0.71111,0.4718,0.80678,0.99118,0.98556,0.99479,0.70048,1.01105,0.53115,0.86127,0.000812,0.000812,0.000812
8,11698.8,0.64198,0.42775,0.80775,0.991,0.97872,0.99417,0.72424,0.97363,0.50899,0.85183,0.000614,0.000614,0.000614
9,13100.3,0.59809,0.39702,0.80156,0.98866,0.98556,0.99456,0.7264,1.00526,0.50148,0.85574,0.000416,0.000416,0.000416
10,14617.3,0.56668,0.37615,0.79887,0.98224,0.98339,0.99414,0.74667,0.95966,0.50192,0.85351,0.000218,0.000218,0.000218
